feature,importance
tempo_internacao,0.3374662314565719
cid_principal_A41,0.07028637348597497
cid_principal_I21,0.05055739327954682
idade,0.04710874045441517
especialidade_CARDIOLOGIA,0.04042868739164255
especialidade_ORTOPEDIA,0.017311020555238605
cid_principal_S72,0.0005646039522897633
cid_principal_N39,0.00026457104076726414
especialidade_CIRURGIA_GERAL,0.00026149668786943356
cid_principal_J18,0.00021476583557217822
especialidade_PEDIATRIA,0.00014097770943636567
sexo_F,8.45334986028401e-05
municipio_RIBEIRAO_PRETO,5.262797221528837e-05
municipio_SAO_PAULO,4.333156346301437e-05
cid_principal_K35,3.7651190880572114e-05
especialidade_CLINICA_MEDICA,3.324865674128874e-05
mes_internacao,0.0
sexo_M,-0.0001492385255821127
municipio_CAMPINAS,-0.0001493809734079171
municipio_SOROCABA,-0.0005347174529702237
municipio_SANTOS,-0.0005994224060183017
